Date	Open	High	Low	Close	Aclose	Volume
Jun 10, 2019	191.81	195.37	191.62	192.58	190.82	26,220,900
Jun 07, 2019	186.51	191.92	185.77	190.15	188.42	30,684,400
Jun 06, 2019	183.08	185.47	182.15	185.22	183.53	22,526,300
Jun 05, 2019	184.28	184.99	181.14	182.54	180.88	29,773,400
Jun 04, 2019	175.44	179.83	174.52	179.64	178.00	30,968,000
Jun 03, 2019	175.60	177.92	170.27	173.30	171.72	40,396,100
May 31, 2019	176.23	177.99	174.99	175.07	173.47	27,043,600
May 30, 2019	177.95	179.23	176.67	178.30	176.67	21,218,400
May 29, 2019	176.42	179.35	176.00	177.38	175.76	28,481,200
May 28, 2019	178.92	180.59	177.91	178.23	176.60	27,948,200
May 24, 2019	180.20	182.14	178.62	178.97	177.34	23,714,700
May 23, 2019	179.80	180.54	177.81	179.66	178.02	36,529,700
May 22, 2019	184.66	185.71	182.55	182.78	181.11	29,748,600
May 21, 2019	185.22	188.00	184.70	186.60	184.90	28,364,800
May 20, 2019	183.52	184.35	180.28	183.09	181.42	38,612,300
May 17, 2019	186.93	190.90	186.76	189.00	187.28	32,879,100
May 16, 2019	189.91	192.47	188.84	190.08	188.35	33,031,400
May 15, 2019	186.27	191.75	186.02	190.92	189.18	26,544,700
May 14, 2019	186.41	189.70	185.41	188.66	186.94	36,529,700
May 13, 2019	187.71	189.48	182.85	185.72	184.03	57,430,600
May 10, 2019	197.42	198.85	192.77	197.18	195.38	41,208,700
May 09, 2019	200.40	201.68	196.66	200.72	198.13	34,908,600
May 08, 2019	201.90	205.34	201.75	202.90	200.28	26,339,500
May 07, 2019	205.88	207.42	200.83	202.86	200.24	38,763,700
May 06, 2019	204.29	208.84	203.50	208.48	205.79	32,443,100
May 03, 2019	210.89	211.84	210.23	211.75	209.01	20,892,400
May 02, 2019	209.84	212.65	208.13	209.15	206.45	31,996,300
May 01, 2019	209.88	215.31	209.23	210.52	207.80	64,827,300
Apr 30, 2019	203.06	203.40	199.11	200.67	198.08	46,534,900
Apr 29, 2019	204.40	205.97	203.86	204.61	201.97	22,204,700
Apr 26, 2019	204.90	205.00	202.12	204.30	201.66	18,649,100
Apr 25, 2019	206.83	207.76	205.12	205.28	202.63	18,543,200
Apr 24, 2019	207.36	208.48	207.05	207.16	204.48	17,540,600
Apr 23, 2019	204.43	207.75	203.90	207.48	204.80	23,323,000
Apr 22, 2019	202.83	204.94	202.34	204.53	201.89	19,439,500
Apr 18, 2019	203.12	204.15	202.52	203.86	201.23	24,195,800
Apr 17, 2019	199.54	203.38	198.61	203.13	200.51	28,906,800
Apr 16, 2019	199.46	201.37	198.56	199.25	196.68	25,696,400
